INDICADORES GENERALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,2026 /certificación de marca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantilla,29,29,29,30,31,33,33,34,35,36,36,36,37,40,42,44,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operando,28,24,26,27,28,29,30,32,34,34,34,32,33,37,38,40,40,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento de plantilla,97%,83%,90%,90%,90%,88%,91%,94%,97%,94%,94%,89%,89%,93%,90%,91%,91%,95%,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajas,3,1,6,0,1,3,2,2,1,1,1,2,3,0,0,2,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacantes,1,5,3,3,3,4,3,2,2,2,3,3,4,3,4,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de Rotación,10%,3%,21%,0%,3%,9%,6%,6%,3%,3%,3%,6%,8%,0%,0%,5%,0%,5%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capacitación de Marca,0%,0%,80%,82%,80%,82%,84%,86%,91%,97%,98%,7%,20%,33%,47%,72%,89%,90%,73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indice de clima laboral,,,,,,,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Productividad de APVS,61%,42%,86%,90%,91%,95%,78%,54%,87%,76%,81%,60%,91%,67%,71%,74%,82%,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Apvs que cumplieron con su objetivo de ventas,40%,33%,38%,44%,45%,86%,43%,15%,58%,40%,47%,29%,64%,47%,47%,50%,33%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditoría Salesforce,92%,92%,81%,82%,83%,81%,90%,97%,94%,92%,92%,85%,,86%,83%,95%,95%,95%,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apvs oro,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apvs plata,1,1,2,1,1,1,1,2,2,3,5,4,3,3,3,5,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avps bronce,3,3,3,3,5,10,9,7,8,8,6,6,7,8,9,9,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indefinidos (Contrato >3 Meses),17,18,18,18,19,21,23,21,26,25,30,31,29,30,37,36,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
