Ventas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicador Cumplimiento ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicador,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero ,Marzo ,Abril ,Mayo ,Junio ,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero ,Febrero,Marzo,Abril ,Mayo,Junio,Julio ,Total Interno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obj Interno,,15,15,15,15,15,20,23,24,25,27,30,30,30,30,30,41,40,45,45,45,45,45,50,40,38,40,40,40,40,40,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obj Margen Variable ,,,,,,,,,,,,,24,19,26,26,28,30,28,31,31,32,35,35,37,35,36,38,38,39,42,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obj Planta ,,,,,,,,,,,,,26,20,30,30,34,40,36,27,41,40,42,49,37,35,37,38,38,39,42,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real,,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,34,40,36,27,41,40,42,34,37,30,41,41,35,37,33,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento Interno,,80%,47%,53%,87%,40%,105%,74%,71%,92%,81%,107%,87%,67%,100%,100%,83%,100%,80%,60%,91%,89%,93%,68%,93%,79%,103%,103%,88%,93%,83%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento Planta,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,69%,100%,86%,111%,108%,92%,95%,79%,125%,,,,,Columna1,Columna2,Columna3,Columna4,Columna5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% de conversion,,3.08%,5.47%,2.78%,4.74%,0.97%,3.68%,3.11%,3.21%,2.80%,2.12%,3.32%,3.60%,4.27%,4.10%,3.44%,4.91%,5.76%,4.03%,4.33%,6.21%,5.76%,5.65%,4.66%,5.32%,4.11%,4.34%,5.66%,4.76%,4.91%,11.70%,4.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicador Venta por Producto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicador,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero ,Marzo ,Abril ,Mayo ,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre ,,,,,,,,,Total ,* Se considera las refacturas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emzoom,,6,3,6,7,5,12,13,9,16,15,22,17,12,15,10,20,9,10,20,32,30,7,,,,,,,,,296,37.05%,,,,2024,4/1/2024,15,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emkoo,,,,,,,,,,2,4,3,4,5,4,9,6,4,5,3,6,4,,,,,,,,,,59,7.38%,,,,2024,5/1/2024,15,13,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS8,,6,4,2,6,1,5,3,7,3,3,6,3,3,9,9,5,25,21,1,2,2,,,,,,,,,,126,15.77%,,,,2024,6/1/2024,15,6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS4,,,,,,,,,,,,,,,,,3,1,,2,1,1,,,,,,,,,,8,1.00%,,,,2024,7/1/2024,20,21,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AION,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,0.13%,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN8,,,,,,,4,1,1,2,,1,2,,2,2,2,,,1,,2,1,,,,,,,,,21,2.63%,,,,2024,8/1/2024,23,17,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,0,12,7,8,13,6,21,17,17,23,22,32,26,20,30,28,36,40,36,27,41,39,8,,,,,,,,,509,,,,,2024,9/1/2024,24,17,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,7,8,13,6,21,17,17,23,22,32,26,20,30,28,35,39,37,26,40,38,44,34,38,34,41,41,36,40,7,,,* Se capturan una vez facturada,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modelo ,,"Febrero,24","Marzo,24","Abril,24","Mayo,24","Junio,24","Julio,24","Agosto,24","Septiembre,24","Octubre,24","Noviembre,24","Diciembre,24","Enero,25","Febrero ,25","Marzo ,25","Abril ,25","Mayo ,25","Junio ,25","Julio ,25","Agosto,25","Septiembre,25","Octubre,25","Noviembre,25","Diciembre,25","Enero ,26","Febrero,26","Marzo,26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total ,* Se considera las refacturas ,,Total 2024,,,,,,#DIV/0!,,,Total 2025,Total 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS8,,6,4,2,6,1,5,3,7,3,2,6,3,3,9,7,4,21,21,1,1,1,3,3,5,2,3,9,4,5,1,151,,18.711%,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS8 HEV ,, ,,,,,,,,,,, ,,,2,2,3,1,,1,1,,1,1,,,,,,,12,807,1.487%,,,,,,,#DIV/0!,,,11,,HEV,Gasolina ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total GS8,,6,4,2,6,1,5,3,7,3,2,6,3,3,9,9,6,24,22,1,2,2,3,4,6,2,3,9,4,5,1,163,20%,,45,48,45,50,57,57,80,97,95,88,29,39,536,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS4,, , , , , , , , , , , , , , , ,1,1, , , , ,1,8,1,7,5,1,1,1,2,29,,3.594%,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS4 HEV ,, ,,,,,,,,,,, ,,,,,,,2,1,1,2,2,,2,,1,1,1,,13,,1.611%,,,,,,,#DIV/0!,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total GS4,, , , , , , , , , , , , , , , ,1,1, ,2,1,1,3,10,1,9,5,2,2,2,2,42,5%,,0,,,,,,#DIV/0!,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GN8,, , , , , ,4,1,1,2, ,1,2, ,2,1,2, , ,1, ,1,1,,,1,,,,,,20,,2.478%,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total GN8,, , , , , ,4,1,1,2, ,1,2, ,2,1,2, , ,1, ,1,1,0,0,1,0,0,0,0,0,20,2%,,9,,,,,,#DIV/0!,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
