Efectivadad de Leads ,,,,,,,,,,,,,
,," 30,189 "," 3,851 "," 5,748 ", 510 , 929 ," 17,748 "," 6,545 ", 720 ,4.0%,64.0%,,
Año,Mes,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion ,Efectividad de Leads,,
2024,Enero,,,,,,,,,,,,
,Febrero,543,108,33,0,1,389,1,12,3.1%,72%,,
,Marzo,178,37,13,0,0,128,1,7,5.5%,72%,,
,Abril,416,79,46,3,0,288,1,8,2.8%,69%,,
,Mayo,422,33,100,17,0,274,5,13,4.7%,65%,,
,Junio,967,140,173,31,3,620,17,6,1.0%,64%,,
,Julio,954,112,251,12,9,570,5,21,3.7%,60%,,
,Agosto,"1,409",504,324,17,18,546,22,17,3.1%,39%,,
,Septiembre,"1,315",431,314,14,26,530,42,17,3.2%,40%,,
,Octubre,"1,973",514,606,18,13,822,72,23,2.8%,42%,,
,Noviembre,"1,562",153,321,44,4,"1,040",79,22,2.1%,67%,,
,Diciembre,"1,282",374,193,60,53,965,330,32,3.3%,75%,,
2025,Enero ,"1,042",17,104,62,136,723,222,26,3.6%,69%,,
,Febrero,561,9,39,14,31,468,150,20,4.3%,83%,,
,Marzo ,925,39,98,3,54,731,125,30,4.1%,79%,,
,Abril ,"1,149",51,134,8,84,872,141,30,3.4%,76%,,
,Mayo ,815,5,75,2,14,574,179,34,5.9%,70%,,
,Junio,"1,083",62,266,5,56,694,315,40,5.8%,64%,,
,Julio ,"1,358",128,241,3,93,893,290,36,4.0%,66%,,
,Agosto,"1,419",81,591,7,59,681,338,27,4.0%,48%,,
,Septiembre,"1,100",32,401,9,18,660,229,38,5.8%,60%,,
,Octubre ,"1,192",67,413,0,17,695,288,40,5.8%,58%,,
,Noviembre,"1,061",46,218,1,52,744,488,41,5.5%,70%,,
,Diciembre,"1,534",125,194,34,44,729,823,34,4.7%,48%,,
2026,Enero ,"1,516",148,187,52,53,714,602,37,5.2%,47%,,
,Febrero,"1,235",116,106,8,31,730,523,30,4.1%,59%,,
,Marzo ,"1,785",228,184,48,32,944,698,38,4.0%,53%,,
,Abril ,"1,393",212,123,38,28,724,559,41,5.7%,52%,,
,Mayo ,"1,251",158,116,25,19,736,458,35,4.8%,59%,,
,,,,,,,,,,,,,
,,Leads ,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion ,Efectividad de Leads,,
,Prome. ,"1,032",142,235,16,33,627,136,24,4%,62%,,
,,43,,,,,,,,,,,
,Leads necesarios  =   Tasa de conversión / Ventas deseadas​,,,,,"Leads ajustados= Efectividad de leads / Leads necesarios
​
",,,,1852.69,,1282,
,Objetivo Enero,,45,1154.01,,Leads ajustados,,1852.69,,Objetivo de Leads ,,,
,Conversion prom.,,4%,,,Efectividad ,,62%,,,,,
,,,,,,,,,,1154.01,,798.54,
,,,,,  ,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Obj de Leads Efectivos ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
