Marketing,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leads total ,543,178,416,422,967,954,1409,1315,1973,1562,1282,1042,561,925,1083,815,1083,1358,"1,419","1,100","1,192","1,061","1,534","1,516","1,235","1,785","1,393","1,251","1,315",,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas X Mes , 12 , 7 , 8 , 13 , 6 , 21 , 17 , 17 , 23 , 22 , 32 , 26 , 20 , 30 , 30 , 34 , 40 ,36,27,38,40,41,34,38,30,41,41,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Desgloce Detallado (Gastos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resumen,,,,,,,,,,,,,,,,,,,,,,,,
Mes ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26",,,2025,2026,,,,,,,,,,,,,,,,,,,,,,
Provisión,,,,,,,,,,,," $346,790.94 "," $423,573.75 "," $242,750.78 "," $517,105.00 "," $570,803.67 "," $788,379.00 "," $735,500.00 "," $793,172.45 "," $991,000.00 "," $1,140,000.00 "," $820,304.00 "," $1,228,270.00 "," $1,323,767.00 "," $586,466.00 "," $934,131.00 "," $859,317.00 "," $853,876.25 "," $761,245.00 ",,Provisión," $8,597,649.59 "," $1,910,233.00 ",,,,,,,,,,,,,,,,,,,,,,
Reembolso,,,,,,,,,,,," $245,306.88 "," $275,727.55 "," $156,192.21 "," $203,631.27 "," $417,182.01 "," $819,986.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reembolso marca,,,,,,,,,,,," $211,471.45 "," $228,900.00 "," $134,648.46 "," $245,000.00 "," $359,639.66 "," $819,986.00 "," $604,550.00 "," $826,149.48 "," $940,031.00 "," $1,033,000.00 "," $746,821.00 "," $1,100,000.00 "," $1,147,742.00 "," $539,269.00 "," $626,000.00 "," $791,064.00 "," $739,082.00 ",,,Reembolso marca," $7,250,197.05 "," $1,687,011.00 ",,,,,,,,,,,,,,,,,,,,,,
Bono a Marketing,,,,,,,,,,,,," $50,000.00 "," $50,000.00 "," $50,000.00 "," $50,000.00 "," $50,000.00 ",,," $50,000.00 "," $50,000.00 "," $50,000.00 ",," $50,000.00 "," $50,000.00 "," $50,000.00 "," $50,000.00 "," $50,000.00 ",,,Bono a Marketing," $400,000.00 "," $100,000.00 ", $8.00 ,,,,,,,,,,,,,,,,,,,,,
Aportacion Agencia ,,,,,,,,,,,," $135,319.49 "," $144,673.75 "," $58,102.32 "," $222,105.00 "," $161,164.01 ","-$31,607.00 "," $130,950.00 "," $-32,977.03 ", $969.00 ," $57,000.00 "," $23,483.00 "," $128,270.00 "," $126,025.00 "," $-2,803.00 "," $258,131.00 "," $18,253.00 "," $64,794.25 "," $761,245.00 ",,Aportacion Agencia ," $997,452.54 "," $123,222.00 ",,,,,,,,,,,,,,,,,,,,,,
Rembolso total ,,,,,,,,,,,," $211,471.45 "," $278,900.00 "," $184,648.46 "," $295,000.00 "," $409,639.66 "," $869,986.00 "," $604,550.00 "," $826,149.48 "," $990,031.00 "," $1,083,000.00 "," $796,821.00 "," $1,100,000.00 "," $1,197,742.00 "," $589,269.00 "," $676,000.00 "," $841,064.00 "," $789,082.00 ", $-   ,* Reembolso + Bono,,,,,,,,,,,,,,,,,,,,,,,,,
Leads total ,543,178,416,422,967,954,1409,1315,1973,1562,1282,1042,561,925,1083,815,1083,1358,1419,1100,1192,1061,1534,1516,1235,1785,1393,1251,1315,,,,,,,,,,,,,,,,,,,,,,,,,,
CAP GENERAL,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$333,$755,$262,$477,$700,$728,$542,$559,$901,$956,$773,$801,$873,$475,$523,$617,$683,$579,,CAP GENERAL,$649,$674,,,,,,,,,,,,,,,,,,,,,,
CAP GAC,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$130,$258,$63,$205,$198,-$29,$96,-$23,$1,$48,$22,$84,$83,-$2,$145,$13,$52,$579,,CAP GAC,$88,$40,,,,,,,,,,,,,,,,,,,,,,
CAC GENERAL,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$13,338","$21,179","$8,092","$17,237","$16,788","$19,709","$20,431","$29,377","$26,079","$28,500","$20,007","$36,126","$34,836","$19,549","$22,784","$20,959","$24,396","$20,574",,CAC GENERAL,"$21,405","$27,192",,,,,,,,,,,,,,,,,,,,,,
CAC GAC,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,"$5,205","$7,234","$1,937","$7,404","$4,740",-$790,"$3,638","-$1,221",$26,"$1,425",$573,"$3,773","$3,316",-$93,"$6,296",$445,"$1,851","$20,574",,CAC GAC,"$2,828","$1,612",,,,,,,,,,,,,,,,,,,,,,
% DE RECUPERACIÓN DE MARCA,-,-,-,-,-,-,-,-,-,-,-,61%,66%,76%,57%,72%,110%,82%,104%,100%,95%,97%,90%,90%,100%,72%,98%,92%,0%,,% DE RECUPERACIÓN DE MARCA,84.17%,95.48%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Estretegias se restan ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comportamiento de Unidades en Plaza Angelopolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Mes  ,Inicio,Fin,Dias,Modelo,Color,Numero de Leads ,Leads por Dia,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abril,4/4/2025,4/9/2025,6,GS8 HEV,Negro,55, 9 ,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/10/2025,4/13/2025,4,GS8  ,Blanco,10, 3 ,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/14/2025,4/24/2025,11,Emzoom,Azul laguna,147, 13 ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/25/2025,5/7/2025,13,GS4 ,Gris,93, 7 ,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayo,5/8/2025,5/19/2025,12,Emzoom R,Azul laguna,78, 7 ,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/20/2025,5/23/2025,4,AION,Plata,24, 6 ,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/24/2025,5/30/2025,7,GS4 ,Blanco,74, 11 ,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/31/2025,6/12/2025,13,GS8 HEV,Blanco,136, 10 ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junio ,6/13/2025,6/18/2025,6,GS8 ICE,Gris Titanio,85, 14 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/19/2025,6/27/2025,9,GS8 HEV GX AWD,Blanco,151, 17 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2025,6/29/2025,2,GS8 GL FWD,Plata Iridio,27, 14 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2025,7/3/2025,4,GS4 ,Blanco,48, 12 ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio,7/4/2025,7/7/2025,4,EMKOO HEV,Negro,59, 15 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/8/2025,7/27/2025,20,GS8  ,Gris Titanio,213, 11 ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/28/2025,7/30/2025,3,Emzoom R,Gris grafeno mate,37, 12 ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/31/2025,8/14/2025,15,Emzoom R,Blanco ,116, 8 ,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agosto,8/15/2025,8/27/2025,13,EMKOO HEV,Negro,132, 10 ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/28/2025,9/1/2025,5,GN8 ,Blanco ,0, -   ,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septiembre,9/2/2025,9/17/2025,16,Emzoom R,Blanco ,142, 9 ,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/18/2025,9/24/2025,7,Emzoom R,Gris magnetico ,50, 7 ,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/25/2025,10/3/2025,9,EMKOO HEV,Negro,63, 7 ,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octubre,10/4/2025,10/6/2025,3,GS8 HEV GX AWD,Blanco,31, 10 ,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/7/2025,10/12/2025,6,Hyptec,Blanco ,76, 13 ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/13/2025,10/27/2025,15,Emzoom R,Gris grafeno mate,114, 8 ,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2025,11/6/2025,10,Emzoom R,Blanco ,59, 6 ,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noviembre,11/7/2025,11/11/2025,5,Emkoo GL,Blanca ,23, 5 ,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/12/2025,11/19/2025,8,Emkoo GL,Negro,93, 12 ,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/20/2025,11/25/2025,6,Emzoom R,Azul laguna,22, 4 ,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2025,12/4/2025,9,GS4 HEV ,Blanco ,42, 5 ,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diciembre ,12/5/2025,12/11/2025,7,Emzoom ,Negro,71, 10 ,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/12/2025,12/16/2025,5,GS4 HEV ,Blanco ,32, 6 ,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/17/2025,1/4/2026,19,Emzoom ,Rojo,135, 7 ,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enero,1/5/2026,1/5/2026,1,Emkoo GE,Plata polar,10, 10 ,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/6/2026,1/11/2026,6,Emkoo GL ,Gris magnetico ,28, 5 ,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/12/2026,1/12/2026,1,AION Y,Gris Perlado,2, 2 ,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13/2026,1/18/2026,6,GN8,Blanca ,35, 6 ,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/19/2026,1/20/2026,2,Hyptech HT Ultra,Blanco ,32, 16 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21/2026,1/23/2026,3,Emzoom GB,Amarillo Verdoso,19, 6 ,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Febrero,1/24/2026,2/4/2026,12,GS4 HEV GL,Blanco Metalico,99, 8 ,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2026,2/12/2026,8,Emkoo,Blanco,56, 7 ,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/13/2026,2/20/2026,8,GS8  ,Blanca ,48, 6 ,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/21/2026,2/25/2026,5,GS8  ,Negro,15, 3 ,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzo,2/26/2026,3/10/2026,13,Emkoo,Gris,116, 9 ,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/11/2026,3/18/2026,8,GS4,Blanco,44, 6 ,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/19/2026,3/23/2026,5,AION UT,Plata ,35, 7 ,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abril,3/24/2026,4/3/2026,11,GS8  ,Blanco,86, 8 ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/4/2026,4/14/2026,11,GS4,Blanco,112, 10 ,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/15/2026,5/4/2026,20,Emzoom,Negro,94, 5 ,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2026,5/8/2026,4,Emkoo,Negro,22, 6 ,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayo,5/9/2026,5/20/2026,12,Emzoom ,Rojo,66, 6 ,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/21/2026,5/21/2026,1,GS7,Negro,13, 13 ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/22/2026,5/25/2026,4,Emzoom,Mate,43, 11 ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/26/2026,5/27/2026,2,AION UT ,Rojo,, -   ,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junio ,5/28/2026,6/5/2026,9,AION UT ,Beige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/6/2026,6/16/2026,11,AION UT ,Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2026,6/25/2026,9,Emzoom ,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/26/2026,6/30/2026,5,AION UT ,Rojo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio,7/1/2026,7/7/2026,7,Emkoo HEV,Negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comportamiento de Unidades en Plaza Tlaxcala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes ,Inicio,Fin,Dias,Modelo,Color,Numero de Leads ,Leads por Dia,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Abril ,4/29/2025,5/9/2025,11,Emkoo  ,Blanco ,34, 3 ,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Mayo ,5/10/2025,6/9/2025,31,Emzoom R,Gris magnetico,130, 4 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junio ,6/10/2025,6/16/2025,7,GS8,Gris,24, 3 ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2025,7/9/2025,23,Emkoo  ,Blanco ,92, 4 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio,7/10/2025,7/10/2025,1,Emzoom R,Gris magnetico,0, -   ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/11/2025,7/20/2025,10,GS8,Plata Iridio,33, 3 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/21/2025,7/27/2025,7,GS8,Plata Iridio,25, 4 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
