Solicitudes de Credito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,, 12 , 7 , 8 , 13 , 6 , 21 , 17 , 17 , 23 , 22 , 32 , 26 , 20 , 30 , 30 , 34 , 40 , 36 , 27 , 38 , 40 , 42 , 34 , 38 , 30 , 41 , 41 , 35 , 37 , 33 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicador,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total 2024,Total 2025,Total 2026,,
Generadas,5,6,11,23,26,43,55,36,56,79,76,103,83,76,92,59,76,97,104,99,127,136,118,111,113,83,85,74,95,82,32,519,1178,450,1697,39%
Aprobadas,1,2,7,14,8,13,30,19,26,31,25,39,30,27,31,35,40,46,41,27,43,51,49,31,37,37,41,42,44,35,12,215,451,201,666,0.509009009
Condicionadas,0,0,1,0,4,0,3,0,1,32,26,33,25,18,27,6,7,25,22,22,32,22,32,49,34,21,14,16,17,10,9,100,287,102,387,
Rechazadas,4,4,4,9,14,22,17,13,13,12,25,26,26,21,30,16,25,22,33,44,49,62,36,28,36,25,30,16,30,33,9,163,392,137,555,
Formalizadas,1,1,5,11,3,6,17,9,7,14,14,17,19,12,20,17,19,25,21,13,25,25,24,14,21,17,18,16,19,13,4,105,234,91,339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% de Aprobación,20%,33%,64%,61%,31%,30%,55%,53%,46%,39%,33%,38%,36%,36%,34%,59%,53%,47%,39%,27%,34%,38%,42%,28%,33%,45%,48%,57%,46%,43%,38%,41%,38%,45%,,
