Plazas ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26"
Leads ,0,0,25,28,68,294,248,52,59,154,280,172,184,275,301,275,355,492,397,312,324,274,325,290,433,401,351,352,403,145
Efectivos ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,281,218,226,209,291,261,387,364,351,347,403,145
SDC ,,,,,,,,,,,26,22,16,27,19,23,35,36,25,44,38,31,34,23,25,26,12,18,16,3
PDM ,,,1,11,5,6,17,8,5,19,14,22,28,20,23,23,44,37,30,41,43,33,18,15,39,35,30,31,41,12
Citas Programadas ,NaN,NaN,1,3,2,30,50,13,13,20,40,53,48,35,52,29,90,77,67,74,77,60,46,23,105,70,41,68,100,26
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14153846153846153,0.07931034482758621,0.24249422632794457,0.1745635910224439,0.1168091168091168,0.19318181818181818,0.24813895781637718,0.1793103448275862
Citas Efectivas ,NaN,NaN,NaN,2,2,8,18,4,6,10,19,35,36,28,25,27,61,51,44,52,48,32,41,19,82,55,31,49,59,15
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.06551724137931035,0.18937644341801385,0.1371571072319202,0.08831908831908832,0.13920454545454544,0.14640198511166252,NaN
Ventas ,0,0,0,0,0,2,3,0,2,3,7,4,1,3,8,5,13,14,6,15,12,11,9,6,6,7,7,7,10,1
Conversion ,0,0,0,0,0,0.006802721088435374,0.012096774193548387,0,0.03389830508474576,0.01948051948051948,0.025,0.023255813953488372,0.005434782608695652,0.01090909090909091,0.026578073089700997,0.01818181818181818,0.036619718309859155,0.028455284552845527,0.015113350125944584,0.04807692307692308,0.037037037037037035,0.040145985401459854,0.027692307692307693,0.020689655172413793,0.013856812933025405,0.017456359102244388,0.019943019943019943,0.019886363636363636,0.02481389578163772,0.006896551724137931
Aporte ,NaN,0,0,0,0,0.3333333333333333,0.14285714285714285,0,0.11764705882352941,0.13043478260869565,0.3181818181818182,0.125,0.038461538461538464,0.15,0.26666666666666666,0.16666666666666666,0.38235294117647056,0.35,0.16666666666666666,0.5555555555555556,0.3157894736842105,0.275,0.2647058823529412,0.17647058823529413,0.15789473684210525,0.23333333333333334,0.17073170731707318,0.17073170731707318,0.2857142857142857,0.02702702702702703
