Indicador,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25.1","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total 2024,Total 2025,Total 2026,Unnamed: 35,Unnamed: 36
ABC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0.0005184033177812338,,,
Afirme,-,-,-,-,-,-,-,-,18,23,37,42,-,-,-,-,-,0,1,-,-,0,0,0,0,0,0,0,0,0,0,121,0.06272680145152928,,,
Banorte,-,-,-,-,-,-,-,-,1,1,2,4,31,41,31,16,44,47,58,48,62,74,50,69,53,33,33,33,34,15,10,790,0.4095386210471747,,,
BBVA,-,-,-,-,-,-,-,-,12,25,10,14,4,7,3,3,9,3,6,2,6,10,16,6,7,10,12,7,11,16,3,202,0.10471747019180923,,,
Ensueño,-,-,-,-,-,-,-,-,-,-,-,-,13,7,7,1,4,6,3,9,11,3,18,22,9,4,3,1,8,8,7,144,0.07465007776049767,,,
FinanMadrid,-,-,-,-,-,-,-,-,0,1,0,0,0,1,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2,0.0010368066355624676,,,
INBURSA,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,
MSTART,-,-,-,-,-,-,-,-,-,-,-,-,-,4,9,10,8,10,10,6,14,11,15,3,12,12,9,5,11,6,1,156,0.08087091757387248,,,
Nexu,-,-,-,-,-,-,-,-,19,31,27,42,-,-,-,-,-,0,4,1,5,4,1,0,1,0,0,0,0,0,0,135,0.06998444790046657,,,
Santander,-,-,-,-,-,-,-,-,1,-,-,1,35,13,40,29,9,30,22,31,27,32,16,11,26,18,25,21,18,30,7,442,0.22913426645930535,,,
Scotiabank,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,2,0,0,2,2,2,2,0,3,2,1,3,9,6,4,41,0.021254536029030584,,,
Sumafin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,0,0,0,0,7,0.0036288232244686366,,,
Bajio ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0005184033177812338,,,
