,Total de Ventas Historicas ,Historico de PDM,Historico de SDC,Leads Prom X Mes,T. Ventas Piso ,Factor   ,RAKING VENTAS,Dependencia de Piso ,Conversion PDM,Conversion SDC,Factor  PDM,Factor  SDC,Raking PDM,Raking SDC
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,5.0,0.0,0.0,0.0,23.0,0.0,0.1,0.0,1.0,5.0,1.0,20.0
2,18.0,59.0,40.0,10.0,0.0,0.18,6.0,0.61,0.31,0.02,3.28,2.22,7.0,10.0
3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,28.0,31.0,8.0,3.0,0.09,11.0,0.38,0.29,0.01,3.5,3.88,9.0,18.0
5,15.0,64.0,30.0,7.0,9.0,0.16,8.0,0.6,0.23,0.02,4.27,2.0,13.0,7.0
6,4.0,21.0,26.0,1.0,1.0,0.25,17.0,0.25,0.19,0.01,5.25,6.5,18.0,23.0
7,0.0,54.0,8.0,16.0,6.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.0,25.0,22.0,2.0,0.0,0.0,19.0,0.0,0.08,0.0,1.0,1.7,22.0,26.0
10,21.0,20.0,32.0,2.0,2.0,0.15,4.0,0.1,0.1,0.0,0.95,1.52,0.0,3.0
11,12.0,36.0,25.0,8.0,5.0,0.11,9.0,0.42,0.33,0.02,3.0,2.08,6.0,9.0
12,1.0,19.0,5.0,6.0,0.0,0.0,23.0,0.0,0.05,0.0,1.0,5.0,23.0,20.0
13,0.0,7.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.0,25.0,22.0,1.0,0.0,0.0,19.0,0.0,0.08,0.0,1.0,1.7,22.0,26.0
16,11.0,17.0,11.0,3.0,0.0,0.0,10.0,0.0,0.65,0.0,1.55,1.0,3.0,1.0
17,25.0,34.0,61.0,9.0,7.0,0.11,3.0,0.28,0.1,0.0,1.36,2.44,2.0,12.0
18,2.0,18.0,6.0,0.0,2.0,0.02,19.0,1.0,0.11,0.0,9.0,3.0,20.0,15.0
19,1.0,5.0,2.0,8.0,1.0,0.13,23.0,1.0,0.2,0.0,5.0,2.0,17.0,7.0
20,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3.0,1.0,5.0,0.0,2.0,0.0,18.0,0.67,0.1,0.0,0.33,1.67,0.0,4.0
22,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,16.0,48.0,49.0,7.0,6.0,0.12,7.0,0.38,0.33,0.01,3.0,3.06,6.0,16.0
24,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.0,9.0,4.0,0.0,1.0,0.02,19.0,0.5,0.22,0.0,4.5,2.0,14.0,7.0
28,7.0,35.0,24.0,9.0,3.0,0.11,13.0,0.43,0.2,0.02,5.0,3.43,17.0,17.0
29,8.0,29.0,42.0,6.0,4.0,0.18,11.0,0.5,0.28,0.01,3.63,5.25,10.0,21.0
30,28.0,117.0,66.0,3.0,0.0,0.09,2.0,0.64,0.24,0.01,4.18,2.36,12.0,11.0
31,0.0,22.0,9.0,4.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,6.0,48.0,55.0,4.0,0.0,0.0,14.0,0.0,0.13,0.0,8.0,1.7,19.0,24.0
33,1.0,4.0,3.0,0.0,0.0,0.0,23.0,0.0,0.25,0.0,4.0,3.0,11.0,15.0
34,6.0,29.0,36.0,3.0,0.0,0.0,14.0,0.0,0.21,0.0,4.83,6.0,15.0,22.0
35,6.0,5.0,9.0,0.0,5.0,0.0,14.0,0.83,0.1,0.0,0.83,1.5,0.0,2.0
36,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,36.0,123.0,75.0,10.0,0.0,0.11,1.0,0.39,0.29,0.01,3.42,2.08,8.0,9.0
38,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,21.0,46.0,57.0,3.0,3.0,0.11,4.0,0.14,0.46,0.0,2.19,2.71,4.0,13.0
41,263.0,979.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
