Leads Prom X Mes,T. Ventas Piso ,Factor   ,Total de Ventas Historicas ,RAKING VENTAS,Dependencia de Piso ,Historico de PDM,Historico de SDC,Conversion PDM,Conversion SDC,Factor  PDM,Factor  SDC,Raking PDM,Raking SDC
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.0,23,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,20.0
10.0,11.0,0.18,18.0,6,0.61,59.0,40.0,0.31,0.02,3.28,2.22,7.0,10.0
0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0
8.0,3.0,0.09,8.0,11,0.38,28.0,31.0,0.29,0.01,3.5,3.88,9.0,18.0
7.0,9.0,0.16,15.0,8,0.6,64.0,30.0,0.23,0.02,4.27,2.0,13.0,7.0
1.0,1.0,0.25,4.0,17,0.25,21.0,26.0,0.19,0.01,5.25,6.5,18.0,23.0
16.0,6.0,0.06,0,0,0.0,54.0,8.0,0.0,0.0,0.0,0.0,0,0
1.0,0.0,0.0,0,0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0,0
2.0,0.0,0.0,2.0,19,0.0,25.0,22.0,0.08,0.0,12.5,11.0,22.0,26.0
2.0,2.0,0.15,21.0,4,0.1,20.0,32.0,1.05,0.0,0.95,1.52,0,3.0
8.0,5.0,0.11,12.0,9,0.42,36.0,25.0,0.33,0.02,3.0,2.08,6.0,9.0
6.0,0.0,0.0,1.0,23,0.0,19.0,5.0,0.05,0.0,19.0,5.0,23.0,20.0
3.0,5.0,0.56,0,-,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0,0
4.0,0.0,0.0,0,-,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0,0
1.0,0.0,0.0,2.0,19,0.0,25.0,22.0,0.08,0.0,12.5,11.0,22.0,26.0
3.0,0.0,0.0,11.0,10,0.0,17.0,11.0,0.65,0.0,1.55,1.0,3.0,1.0
9.0,7.0,0.11,25.0,3,0.28,34.0,61.0,0.74,0.0,1.36,2.44,2.0,12.0
0.0,2.0,0.02,2.0,19,1.0,18.0,6.0,0.11,0.17,9.0,3.0,20.0,15.0
8.0,1.0,0.13,1.0,23,1.0,5.0,2.0,0.2,0.5,5.0,2.0,17.0,7.0
2.0,0.0,0.0,0,-,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0,0
0.0,2.0,1.0,3.0,18,0.67,1.0,5.0,3.0,0.13,0.33,1.67,0,4.0
0.0,0.0,0.0,0,-,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0
7.0,6.0,0.12,16.0,7,0.38,48.0,49.0,0.33,0.01,3.0,3.06,6.0,16.0
1.0,0.0,0.0,0,-,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,0,-,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0,0
2.0,0.0,0.0,0,-,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0,0
0.0,1.0,0.02,2.0,19,0.5,9.0,4.0,0.22,0.13,4.5,2.0,14.0,7.0
9.0,3.0,0.11,7.0,13,0.43,35.0,24.0,0.2,0.02,5.0,3.43,17.0,17.0
6.0,4.0,0.18,8.0,11,0.5,29.0,42.0,0.28,0.01,3.63,5.25,10.0,21.0
17.0,18.0,0.09,28.0,2,0.64,117.0,66.0,0.24,0.01,4.18,2.36,12.0,11.0
4.0,1.0,0.06,0,-,0.0,22.0,9.0,0.0,0.0,0.0,0.0,0,0
4.0,0.0,0.0,6.0,14,0.0,48.0,55.0,0.13,0.0,8.0,9.17,19.0,24.0
0.0,0.0,0.0,1.0,23,0.0,4.0,3.0,0.25,0.0,4.0,3.0,11.0,15.0
3.0,0.0,0.0,6.0,14,0.0,29.0,36.0,0.21,0.0,4.83,6.0,15.0,22.0
0.0,5.0,1.0,6.0,14,0.83,5.0,9.0,1.2,0.09,0.83,1.5,0,2.0
6.0,0.0,0.0,0,-,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0
10.0,14.0,0.11,36.0,1,0.39,123.0,75.0,0.29,0.01,3.42,2.08,8.0,9.0
3.0,0.0,0.0,0,-,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0
1.0,0.0,0.0,0,-,0.0,0.0,0,0,0,0.0,0.0,0,0
3.0,3.0,0.11,21.0,4,0.14,46.0,57.0,0.46,0.0,2.19,2.71,4.0,13.0
0,0,0,263.0,0,0,979.0,811.0,0,0,0,0,0,0
