,Indicador,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25"
0,ABC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,8.5,3.5,7.0,3.0,6.0,1.0,3.5
1,Afirme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,37.0,42.0,8.5,3.5,7.0,3.0,6.0,0.0,1.0
2,Banorte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,31.0,3.5,31.0,16.0,6.0,0.5,3.5
3,BBVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,10.0,14.0,4.0,7.0,3.0,3.0,9.0,3.0,6.0
4,Ensueño,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,13.0,7.0,7.0,1.0,4.0,6.0,3.0
5,FinanMadrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,6.0,0.5,3.5
6,INBURSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,8.5,0.0,7.0,3.0,6.0,0.5,3.5
7,MSTART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,8.5,4.0,9.0,10.0,8.0,10.0,10.0
8,Nexu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,27.0,42.0,8.5,3.5,7.0,3.0,6.0,0.0,4.0
9,Santander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,1.0,35.0,13.0,40.0,29.0,9.0,0.5,22.0
10,Scotiabank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,8.5,3.0,0.0,0.0,2.0,0.0,0.0
11,Sumafin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,4.0,8.5,3.5,7.0,3.0,6.0,0.5,3.5
12,Bajio ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
