,Fecha,Leads ,Efectivos ,SDC ,PDM ,Citas Programadas,Citas Efectivas ,Ventas ,Conversion ,Aporte 
0,"Febrero, 24",57.0,335.5,28.0,23.0,3.0,2.0,8.5,0.0,0.2
1,"Marzo, 24",145.0,335.5,28.0,23.0,6.0,5.0,1.0,0.0068965517241379,0.0833333333333333
2,"Abril, 24",129.0,335.5,28.0,23.0,23.0,5.0,8.5,0.0,0.0
3,"Mayo, 24",463.0,335.5,28.0,23.0,43.0,23.0,8.5,0.0,0.0
4,"Junio, 24",350.0,335.5,28.0,23.0,43.0,19.0,1.0,0.0028571428571428,0.0769230769230769
5,"Julio, 24",192.0,335.5,28.0,23.0,36.0,14.0,2.0,0.0104166666666666,0.3333333333333333
6,"Agosto, 24",1112.0,335.5,28.0,23.0,57.0,18.0,8.5,0.0,0.0
7,"Septiembre, 24",1353.0,335.5,28.0,8.0,107.0,27.0,6.0,0.0044345898004434,0.3529411764705882
8,"Octubre, 24",1142.0,335.5,28.0,7.0,83.0,33.0,1.0,0.0008756567425569,0.0588235294117647
9,"Noviembre, 24",846.0,335.5,28.0,17.0,71.0,18.0,5.0,0.0059101654846335,0.217391304347826
10,"Diciembre, 24",755.0,335.5,28.0,28.0,50.0,27.0,10.0,0.0132450331125827,0.4545454545454545
11,"Enero, 25",202.0,335.5,21.0,22.0,74.0,37.0,9.0,0.0,0.28125
12,"Febrero, 25",207.0,335.5,28.0,24.0,45.0,30.0,4.0,0.0193236714975845,0.1538461538461538
13,"Marzo, 25",491.0,335.5,13.0,16.0,25.0,19.0,12.0,0.0244399185336048,0.6
14,"Abril, 25",749.0,335.5,6.0,17.0,47.0,33.0,5.0,0.0066755674232309,0.1666666666666666
15,"Mayo, 25",361.0,335.5,15.0,26.0,37.0,32.0,9.0,0.0249307479224376,0.3
16,"Junio, 25",576.0,335.5,19.0,21.0,69.0,34.0,12.0,0.0208333333333333,0.3529411764705882
17,"Julio, 25",699.0,335.5,29.0,33.0,89.0,45.0,9.0,0.0128755364806866,0.225
18,"Agosto, 25",827.0,239.0,29.0,31.0,135.0,51.0,9.0,0.0108827085852478,0.25
19,"Septiembre, 25",676.0,344.0,36.0,31.0,125.0,73.0,15.0,0.022189349112426,0.5555555555555556
20,"Octubre, 25",688.0,329.0,50.0,32.0,110.0,60.0,10.0,0.0145348837209302,0.2631578947368421
21,"Noviembre, 25",554.0,342.0,42.0,22.0,97.0,55.0,14.0,0.0252707581227436,0.35
22,"Diciembre, 25",908.0,594.0,39.0,23.0,90.0,51.0,8.0,0.0088105726872246,0.2352941176470588
23,"Enero, 26",922.0,674.0,23.0,22.0,110.0,56.0,6.0,0.0065075921908893,0.1764705882352941
24,"Febrero, 26",635.0,457.0,21.0,22.0,85.0,43.0,13.0,0.0204724409448818,0.3421052631578947
25,"Marzo, 26",980.0,618.0,16.0,25.0,78.0,36.0,11.0,0.0112244897959183,0.3666666666666666
26,"Abril, 26",834.0,179.0,32.0,35.0,83.0,59.0,8.0,0.0095923261390887,0.1951219512195122
27,"Mayo, 26",667.0,170.0,30.0,35.0,140.0,33.0,9.0,0.0134932533733133,0.2195121951219512
28,"Junio, 26",748.0,200.0,28.0,28.0,101.0,53.0,7.0,0.0093582887700534,0.2
29,"Julio,26",298.0,64.0,3.0,12.0,26.0,15.0,1.0,0.0033557046979865,0.027027027027027
