,Fecha,Leads ,Efectivos ,SDC ,PDM ,Citas Programadas ,Citas Efectivas ,Ventas ,Conversion ,Aporte 
0,"Febrero, 24",71.5,71.5,23.5,22.0,9.0,4.0,9.0,0.0273556231003039,0.3
1,"Marzo, 24",71.5,71.5,23.5,13.0,28.0,16.0,4.0,0.2105263157894736,0.3333333333333333
2,"Abril, 24",76.0,71.5,23.5,35.0,15.0,6.0,10.0,0.131578947368421,0.3
3,"Mayo, 24",87.0,71.5,23.5,40.0,38.0,16.0,9.0,0.0114942528735632,0.125
4,"Junio, 24",55.0,71.5,23.5,28.0,78.0,60.0,3.0,0.0545454545454545,0.2307692307692307
5,"Julio, 24",92.0,71.5,23.5,35.0,75.0,57.0,10.0,0.108695652173913,0.3
6,"Agosto, 24",77.0,71.5,32.0,31.0,65.0,46.0,9.0,0.1168831168831168,0.4285714285714285
7,"Septiembre, 24",57.0,71.5,28.0,28.0,37.0,19.0,6.0,0.1052631578947368,0.3529411764705882
8,"Octubre, 24",43.0,71.5,38.0,14.0,31.0,25.0,3.0,0.0697674418604651,0.1764705882352941
9,"Noviembre, 24",50.0,71.5,32.0,25.0,18.0,14.0,11.0,0.22,0.4782608695652174
10,"Diciembre, 24",64.0,71.5,42.0,32.0,42.0,36.0,8.0,0.125,0.3636363636363636
11,"Enero, 25",71.0,71.0,34.0,28.0,71.0,71.0,10.0,0.1408450704225352,0.3125
12,"Febrero, 25",64.0,64.0,23.0,33.0,64.0,64.0,11.0,0.171875,0.4230769230769231
13,"Marzo, 25",80.0,80.0,28.0,32.0,80.0,80.0,9.0,0.1125,0.45
14,"Abril, 25",43.0,43.0,13.0,28.0,34.0,34.0,13.0,0.1,0.4333333333333333
15,"Mayo, 25",65.0,65.0,16.0,34.0,65.0,65.0,12.0,0.1846153846153846,0.4
16,"Junio, 25",59.0,59.0,13.0,31.0,59.0,59.0,10.0,0.1694915254237288,0.2941176470588235
17,"Julio, 25",63.0,63.0,12.0,29.0,63.0,63.0,7.0,0.1111111111111111,0.175
18,"Agosto, 25",71.0,71.0,22.0,44.0,71.0,71.0,7.0,0.0985915492957746,0.1944444444444444
19,"Septiembre, 25",58.0,58.0,21.0,31.0,58.0,58.0,7.0,0.1206896551724138,0.2592592592592592
20,"Octubre, 25",72.0,72.0,24.0,48.0,72.0,72.0,11.0,0.1527777777777778,0.2894736842105263
21,"Noviembre, 25",81.0,81.0,21.0,43.0,81.0,81.0,9.0,0.1111111111111111,0.225
22,"Diciembre, 25",76.0,76.0,27.0,22.0,76.0,76.0,9.0,0.1184210526315789,0.2647058823529412
23,"Enero, 26",97.0,97.0,27.0,46.0,97.0,97.0,6.0,0.0618556701030927,0.1764705882352941
24,"Febrero, 26",94.0,94.0,18.0,28.0,94.0,94.0,7.0,0.0744680851063829,0.1842105263157894
25,"Marzo, 26",105.0,105.0,24.0,41.0,105.0,105.0,8.0,0.0761904761904762,0.2666666666666666
26,"Abril, 26",79.0,79.0,18.0,36.0,12.0,10.0,9.0,0.1139240506329113,0.2195121951219512
27,"Mayo, 26",115.0,71.5,24.0,45.0,73.0,59.0,9.0,0.0782608695652174,0.2195121951219512
28,"Junio, 26",85.0,84.0,22.0,42.0,28.0,25.0,11.0,0.1294117647058823,0.3142857142857143
29,"Julio,26",36.0,36.0,7.0,16.0,11.0,8.0,9.0,0.0555555555555555,0.054054054054054
