,Fecha,Leads ,Efectivos ,SDC ,PDM ,Citas Programadas ,Citas Efectivas ,Ventas ,Conversion ,Aporte 
0,"Febrero, 24",0.0,286.0,25.0,22.5,47.0,31.0,0.0,0.0,0.2
1,"Marzo, 24",0.0,286.0,25.0,22.5,47.0,31.0,0.0,0.0,0.0
2,"Abril, 24",25.0,286.0,25.0,1.0,1.0,31.0,0.0,0.0,0.0
3,"Mayo, 24",28.0,286.0,25.0,11.0,3.0,2.0,0.0,0.0,0.0
4,"Junio, 24",68.0,286.0,25.0,5.0,2.0,2.0,0.0,0.0,0.0
5,"Julio, 24",294.0,286.0,25.0,6.0,30.0,8.0,2.0,0.0068027210884353,0.3333333333333333
6,"Agosto, 24",248.0,286.0,25.0,17.0,50.0,18.0,3.0,0.0120967741935483,0.1428571428571428
7,"Septiembre, 24",52.0,286.0,25.0,8.0,13.0,4.0,0.0,0.0,0.0
8,"Octubre, 24",59.0,286.0,25.0,5.0,13.0,6.0,2.0,0.0338983050847457,0.1176470588235294
9,"Noviembre, 24",154.0,286.0,25.0,19.0,20.0,10.0,3.0,0.0194805194805194,0.1304347826086956
10,"Diciembre, 24",280.0,286.0,26.0,14.0,40.0,19.0,7.0,0.025,0.3181818181818182
11,"Enero, 25",172.0,286.0,22.0,22.0,53.0,35.0,4.0,0.0232558139534883,0.125
12,"Febrero, 25",184.0,286.0,16.0,28.0,48.0,36.0,1.0,0.0054347826086956,0.0384615384615384
13,"Marzo, 25",275.0,286.0,27.0,20.0,35.0,28.0,3.0,0.0109090909090909,0.15
14,"Abril, 25",301.0,286.0,19.0,23.0,52.0,25.0,8.0,0.0265780730897009,0.2666666666666666
15,"Mayo, 25",275.0,286.0,23.0,23.0,29.0,27.0,5.0,0.0181818181818181,0.1666666666666666
16,"Junio, 25",355.0,286.0,35.0,44.0,90.0,61.0,13.0,0.0366197183098591,0.3823529411764705
17,"Julio, 25",492.0,286.0,36.0,37.0,77.0,51.0,14.0,0.0284552845528455,0.35
18,"Agosto, 25",397.0,281.0,25.0,30.0,67.0,44.0,6.0,0.0151133501259445,0.1666666666666666
19,"Septiembre, 25",312.0,218.0,44.0,41.0,74.0,52.0,15.0,0.048076923076923,0.2
20,"Octubre, 25",324.0,226.0,38.0,43.0,77.0,48.0,12.0,0.037037037037037,0.3157894736842105
21,"Noviembre, 25",274.0,209.0,31.0,33.0,60.0,32.0,11.0,0.0401459854014598,0.275
22,"Diciembre, 25",325.0,291.0,34.0,18.0,46.0,41.0,9.0,0.0276923076923076,0.2647058823529412
23,"Enero, 26",290.0,261.0,23.0,15.0,23.0,19.0,6.0,0.0206896551724137,0.1764705882352941
24,"Febrero, 26",433.0,387.0,25.0,39.0,105.0,82.0,6.0,0.0138568129330254,0.1578947368421052
25,"Marzo, 26",401.0,364.0,26.0,35.0,70.0,55.0,7.0,0.0174563591022443,0.2333333333333333
26,"Abril, 26",351.0,351.0,12.0,30.0,41.0,31.0,7.0,0.0199430199430199,0.1707317073170731
27,"Mayo, 26",352.0,347.0,18.0,31.0,68.0,49.0,7.0,0.0198863636363636,0.1707317073170731
28,"Junio, 26",403.0,403.0,16.0,41.0,100.0,59.0,10.0,0.0248138957816377,0.2857142857142857
29,"Julio,26",145.0,145.0,3.0,12.0,26.0,15.0,1.0,0.0068965517241379,0.027027027027027
